place_id,name,address,lat,lng,website,google_maps_url,primary_type,business_status,neighbourhood
ChIJYYml2UhzhlQRvySF6IWg-4U,Casereccio Foods Coffee/Pasta Bar,"2480 Vine St, Vancouver, BC V6K 3K8, Canada",49.2642288,-123.1574853,https://www.caserecciofoods.com/,https://maps.google.com/?cid=9654486723190924479&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,italian_restaurant,OPERATIONAL,Kitsilano
ChIJY00VLbRzhlQRs8vbHKdFKzg,TurF Kitsilano (KITS),"2041 W 4th Ave, Vancouver, BC V6J 1N3, Canada",49.2683255,-123.1515974,https://www.ourturf.com/,https://maps.google.com/?cid=4047405274168544179&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop,OPERATIONAL,Kitsilano
ChIJzbK4xk9zhlQRLjVatc9cVXE,Tutto Belle Il Gelato,"2151 W 4th Ave, Vancouver, BC V6K 1N7, Canada",49.2683708,-123.1539745,https://tuttobelleilgelato.ca/,https://maps.google.com/?cid=8166535546476836142&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ice_cream_shop,OPERATIONAL,Kitsilano
ChIJj6oIS_5yhlQRBsU-tKKUfoc,Grounds for Coffee,"2565 Alma St, Vancouver, BC V6R 3R8, Canada",49.2637419,-123.1861189,http://www.groundsforcoffee.ca/,https://maps.google.com/?cid=9763404468715439366&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe,OPERATIONAL,Kitsilano
ChIJs2dyi3tzhlQRvS1hplG5MPo,Just Another,"3040 W Broadway, Vancouver, BC V6K 2H1, Canada",49.2640329,-123.1729314,https://www.justanother.ca/,https://maps.google.com/?cid=18028113068698971581&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe,OPERATIONAL,Kitsilano
ChIJ6_q_AKhzhlQRihk74gm2oBM,Provisions Kitsilano,"2296 W 4th Ave, Vancouver, BC V6K 1N8, Canada",49.2680922,-123.1573576,http://www.provisionscafe.com/,https://maps.google.com/?cid=1414330436560820618&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe,OPERATIONAL,Kitsilano
ChIJ5zCWvrFzhlQRe4j8E2XBqxg,Platform 7 Coffee,"2300 W Broadway, Vancouver, BC V6K 2E5, Canada",49.2637436,-123.1578427,http://www.platform7coffee.com/,https://maps.google.com/?cid=1777727117798967419&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop,OPERATIONAL,Kitsilano
ChIJ6QuEWZFzhlQRU6ynlJ2i81c,The Naam,"2724 W 4th Ave, Vancouver, BC V6K 1R1, Canada",49.2681884,-123.1670365,http://www.thenaam.com/,https://maps.google.com/?cid=6337587898328001619&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,vegetarian_restaurant,OPERATIONAL,Kitsilano
ChIJKzDdhbNzhlQRN9TcI0eaFPI,Au Comptoir,"2278 W 4th Ave, Vancouver, BC V6K 1S4, Canada",49.2679862,-123.1570145,http://www.aucomptoir.ca/,https://maps.google.com/?cid=17443736887047803959&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,french_restaurant,OPERATIONAL,Kitsilano
ChIJZy2wsLJzhlQRwGZsQMBiBAk,Cafe Lokal,"2610 W 4th Ave, Vancouver, BC V6K 1P8, Canada",49.2681703,-123.1647336,http://www.cafelokal.ca/,https://maps.google.com/?cid=649752824102282944&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe,OPERATIONAL,Kitsilano
ChIJsb2BMrVzhlQRGEtpxK0dwos,Viva Cafe & Bakery,"1555 Yew St, Vancouver, BC V6K 3E5, Canada",49.272037,-123.155166,http://vivacafe.ca/,https://maps.google.com/?cid=10070644348915632920&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe,OPERATIONAL,Kitsilano
ChIJHZXYU2JzhlQRMrFHgdywnpE,La La Island,"2951 W Broadway, Vancouver, BC V6K 4N3, Canada",49.2642949,-123.1714631,https://www.lalaisland.ca/,https://maps.google.com/?cid=10493018642928087346&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe,OPERATIONAL,Kitsilano
